Date,Open,High,Low,Close,Adj Close,Volume
2021-07-15,1550.000000,1625.000000,1549.949951,1609.349976,1591.337769,9066480
2021-07-16,1609.349976,1622.800049,1595.099976,1618.750000,1600.632568,4157388
2021-07-19,1600.000000,1639.400024,1597.599976,1609.599976,1591.584961,3027093
2021-07-20,1609.849976,1622.650024,1582.000000,1590.349976,1572.550415,1847026
2021-07-22,1610.000000,1647.150024,1591.550049,1642.150024,1623.770630,3231269
2021-07-23,1644.000000,1645.949951,1606.849976,1611.750000,1593.710815,2259058
2021-07-26,1611.750000,1627.300049,1592.800049,1597.599976,1579.719238,2219416
2021-07-27,1610.150024,1619.000000,1584.250000,1608.250000,1590.250000,3984778
2021-07-28,1592.449951,1601.300049,1553.000000,1594.199951,1594.199951,4119892
2021-07-29,1594.000000,1607.349976,1586.000000,1596.000000,1596.000000,1672177
2021-07-30,1598.000000,1624.900024,1585.000000,1601.449951,1601.449951,2536568
2021-08-02,1606.300049,1618.000000,1602.050049,1613.949951,1613.949951,1083353
2021-08-03,1625.000000,1638.699951,1610.300049,1634.349976,1634.349976,1777140
2021-08-04,1640.000000,1644.300049,1613.599976,1623.199951,1623.199951,2067087
2021-08-05,1620.000000,1632.849976,1608.800049,1627.400024,1627.400024,1831728
2021-08-06,1627.000000,1639.000000,1608.300049,1610.349976,1610.349976,1192143
2021-08-09,1620.000000,1624.000000,1590.000000,1597.449951,1597.449951,1223794
2021-08-10,1606.000000,1609.900024,1572.000000,1588.449951,1588.449951,1429931
2021-08-11,1590.199951,1597.900024,1562.750000,1583.300049,1583.300049,1370930
2021-08-12,1590.000000,1627.000000,1582.000000,1623.449951,1623.449951,1645811
2021-08-13,1626.000000,1676.800049,1625.000000,1668.400024,1668.400024,5439442
2021-08-16,1674.000000,1677.050049,1653.349976,1656.099976,1656.099976,1794407
2021-08-17,1658.000000,1665.000000,1625.050049,1638.750000,1638.750000,1838525
2021-08-18,1647.000000,1661.099976,1627.099976,1632.849976,1632.849976,1570228
2021-08-20,1618.900024,1623.000000,1590.000000,1593.599976,1593.599976,2416059
2021-08-23,1600.099976,1619.000000,1567.900024,1580.750000,1580.750000,1973841
2021-08-24,1590.000000,1613.349976,1582.800049,1605.800049,1605.800049,1580003
2021-08-25,1614.949951,1626.000000,1590.000000,1593.800049,1593.800049,1795313
2021-08-26,1593.800049,1602.949951,1585.000000,1595.750000,1595.750000,2051262
2021-08-27,1604.000000,1666.699951,1598.050049,1638.099976,1638.099976,4903187
2021-08-30,1646.699951,1684.949951,1645.099976,1660.099976,1660.099976,3345934
2021-08-31,1660.050049,1676.000000,1645.000000,1672.199951,1672.199951,3264644
2021-09-01,1672.250000,1718.000000,1672.199951,1686.400024,1686.400024,3530101
2021-09-02,1687.900024,1710.000000,1682.000000,1686.199951,1686.199951,2400278
2021-09-03,1697.000000,1704.300049,1672.099976,1691.500000,1691.500000,2336258
2021-09-06,1700.000000,1716.000000,1690.199951,1694.199951,1694.199951,1850835
2021-09-07,1694.199951,1705.000000,1679.449951,1681.699951,1681.699951,1734879
2021-09-08,1682.000000,1694.699951,1658.000000,1666.550049,1666.550049,1644392
2021-09-09,1655.199951,1680.599976,1655.199951,1670.050049,1670.050049,1225239
2021-09-13,1662.050049,1675.650024,1660.500000,1671.699951,1671.699951,1578773
2021-09-14,1676.000000,1698.800049,1675.400024,1696.449951,1696.449951,1407269
2021-09-15,1700.000000,1724.599976,1697.000000,1717.000000,1717.000000,2757989
2021-09-16,1709.599976,1728.500000,1709.250000,1721.250000,1721.250000,2128381
2021-09-17,1724.000000,1741.699951,1706.099976,1716.199951,1716.199951,3473932
2021-09-20,1700.199951,1735.000000,1699.949951,1704.349976,1704.349976,1820374
2021-09-21,1698.599976,1730.750000,1692.400024,1720.900024,1720.900024,2029747
2021-09-22,1720.900024,1730.000000,1706.000000,1710.900024,1710.900024,1487933
2021-09-23,1718.300049,1775.000000,1715.050049,1769.699951,1769.699951,3702946
2021-09-24,1780.000000,1810.000000,1750.000000,1768.750000,1768.750000,3612494
2021-09-27,1772.000000,1782.750000,1737.000000,1739.599976,1739.599976,1650711
2021-09-28,1745.300049,1759.050049,1719.000000,1737.150024,1737.150024,1442615
2021-09-29,1732.000000,1742.000000,1716.599976,1721.000000,1721.000000,1698747
2021-09-30,1719.949951,1734.250000,1697.000000,1702.949951,1702.949951,1792078
2021-10-01,1697.500000,1712.500000,1687.500000,1696.900024,1696.900024,1563937
2021-10-04,1696.500000,1723.949951,1684.050049,1715.250000,1715.250000,1588493
2021-10-05,1714.500000,1740.000000,1706.000000,1716.699951,1716.699951,1705242
2021-10-06,1716.699951,1735.900024,1690.000000,1695.050049,1695.050049,1845661
2021-10-07,1710.000000,1729.300049,1700.000000,1712.449951,1712.449951,1378863
2021-10-08,1740.000000,1741.000000,1720.000000,1726.900024,1726.900024,1755402
2021-10-11,1733.750000,1746.849976,1715.000000,1716.900024,1716.900024,1528151
2021-10-12,1710.500000,1725.550049,1700.000000,1718.199951,1718.199951,1671988
2021-10-13,1727.000000,1763.900024,1724.050049,1752.050049,1752.050049,2105025
2021-10-14,1775.000000,1817.900024,1767.449951,1789.300049,1789.300049,4440909
2021-10-18,1807.150024,1810.500000,1782.000000,1788.449951,1788.449951,1918546
2021-10-19,1809.800049,1885.000000,1802.050049,1846.050049,1846.050049,6639827
2021-10-20,1855.000000,1868.650024,1796.300049,1806.699951,1806.699951,3295376
2021-10-21,1815.000000,1826.500000,1791.050049,1805.750000,1805.750000,2774633
2021-10-22,1816.000000,1831.500000,1781.349976,1792.250000,1792.250000,1520637
2021-10-25,1792.250000,1812.800049,1760.349976,1784.150024,1784.150024,2488386
2021-10-26,1785.000000,1811.900024,1781.550049,1796.250000,1796.250000,1930107
2021-10-27,1801.000000,1814.000000,1775.099976,1784.550049,1784.550049,1408879
2021-10-28,1799.550049,1862.000000,1791.000000,1814.250000,1814.250000,6379424
2021-10-29,1822.000000,1824.900024,1735.800049,1766.650024,1766.650024,3984689
2021-11-01,1776.000000,1805.000000,1751.199951,1795.349976,1795.349976,2316925
2021-11-02,1800.000000,1824.449951,1795.400024,1815.650024,1815.650024,1687119
2021-11-03,1818.000000,1915.000000,1818.000000,1889.500000,1889.500000,11580233
2021-11-04,1900.000000,1920.849976,1900.000000,1908.949951,1908.949951,764191
2021-11-08,1944.550049,1953.900024,1912.199951,1924.550049,1924.550049,3674523
2021-11-09,1933.500000,1964.099976,1930.300049,1943.599976,1943.599976,3550645
2021-11-10,1932.699951,1954.000000,1932.000000,1950.150024,1950.150024,3208195
2021-11-11,1947.849976,1981.750000,1925.650024,1931.699951,1931.699951,7061537
2021-11-12,1940.000000,1965.000000,1928.099976,1959.949951,1959.949951,2026320
2021-11-15,1961.250000,1974.500000,1943.000000,1947.050049,1947.050049,1127678
2021-11-16,1950.000000,1979.949951,1944.000000,1955.300049,1955.300049,2279531
2021-11-17,1949.000000,1978.900024,1943.550049,1952.900024,1952.900024,2166686
2021-11-18,1952.900024,1954.000000,1893.000000,1897.000000,1897.000000,1883794
2021-11-22,1898.250000,1900.000000,1837.849976,1864.500000,1864.500000,2407464
2021-11-23,1850.000000,1895.599976,1844.500000,1886.349976,1886.349976,2028470
2021-11-24,1894.000000,1902.400024,1845.949951,1862.500000,1862.500000,1361828
2021-11-25,1855.000000,1866.849976,1838.199951,1849.900024,1849.900024,1930012
2021-11-26,1820.000000,1841.750000,1768.599976,1778.150024,1778.150024,2796595
2021-11-29,1778.000000,1790.050049,1735.150024,1767.250000,1767.250000,2111420
2021-11-30,1767.250000,1798.900024,1751.300049,1764.750000,1764.750000,3385628
2021-12-01,1764.000000,1794.000000,1762.050049,1786.000000,1786.000000,1359786
2021-12-02,1785.949951,1794.000000,1763.000000,1789.199951,1789.199951,2813690
2021-12-03,1799.949951,1844.800049,1796.550049,1801.250000,1801.250000,3612772
2021-12-06,1799.000000,1821.000000,1778.000000,1782.650024,1782.650024,1566109
2021-12-07,1790.199951,1810.000000,1772.099976,1798.099976,1798.099976,2097201
2021-12-08,1802.000000,1841.000000,1802.000000,1825.050049,1825.050049,3433206
2021-12-09,1835.000000,1884.150024,1827.949951,1879.800049,1879.800049,3791595
2021-12-10,1879.800049,1890.849976,1861.050049,1873.400024,1873.400024,1771926
2021-12-13,1893.699951,1896.250000,1855.050049,1861.500000,1861.500000,1857829
2021-12-14,1850.000000,1874.000000,1846.199951,1865.699951,1865.699951,1685243
2021-12-15,1866.000000,1898.750000,1863.650024,1880.800049,1880.800049,2176709
2021-12-16,1892.000000,1908.000000,1866.300049,1873.900024,1873.900024,2469902
2021-12-17,1866.500000,1874.699951,1831.699951,1847.099976,1847.099976,2352938
2021-12-20,1821.000000,1829.650024,1771.500000,1799.349976,1799.349976,2488158
2021-12-21,1817.900024,1852.199951,1812.500000,1827.550049,1827.550049,2077840
2021-12-22,1827.550049,1879.550049,1827.550049,1871.000000,1871.000000,1692505
2021-12-23,1883.000000,1887.849976,1862.099976,1878.449951,1878.449951,1677127
2021-12-24,1888.750000,1888.750000,1850.000000,1859.400024,1859.400024,1203991
2021-12-27,1859.400024,1875.650024,1845.800049,1866.199951,1866.199951,1139744
2021-12-28,1872.099976,1909.000000,1872.099976,1899.500000,1899.500000,1916098
2021-12-29,1895.000000,1908.949951,1890.050049,1894.849976,1894.849976,1287946
2021-12-30,1892.300049,1901.699951,1880.900024,1885.699951,1885.699951,1805349
2021-12-31,1887.349976,1907.099976,1887.300049,1895.900024,1895.900024,1145546
2022-01-03,1895.000000,1937.449951,1893.650024,1922.849976,1922.849976,1906676
2022-01-04,1922.849976,1943.000000,1914.550049,1937.550049,1937.550049,1643920
2022-01-05,1940.699951,1951.000000,1927.650024,1948.599976,1948.599976,1711667
2022-01-06,1944.500000,1953.000000,1919.599976,1924.500000,1924.500000,1372015
2022-01-07,1929.050049,1934.949951,1897.150024,1904.900024,1904.900024,1447123
2022-01-10,1910.000000,1959.949951,1907.250000,1953.099976,1953.099976,2397846
2022-01-11,1949.000000,1970.000000,1937.650024,1961.150024,1961.150024,2232435
2022-01-12,1978.500000,1984.000000,1960.300049,1974.199951,1974.199951,1585970
2022-01-13,1975.550049,2029.000000,1975.550049,2018.400024,2018.400024,2373324
2022-01-14,2014.000000,2049.949951,2007.000000,2044.750000,2044.750000,3124945
2022-01-17,2044.750000,2071.949951,2042.000000,2069.399902,2069.399902,1858651
2022-01-18,2075.649902,2078.550049,2010.550049,2022.199951,2022.199951,1460676
2022-01-19,2019.900024,2027.000000,1987.000000,2020.900024,2020.900024,2336679
2022-01-20,2020.000000,2035.000000,1984.099976,2003.500000,2003.500000,2031107
2022-01-21,1982.150024,1994.800049,1943.050049,1956.050049,1956.050049,2209132
2022-01-24,1955.000000,1959.000000,1881.550049,1899.900024,1899.900024,2307120
2022-01-25,1895.000000,1931.300049,1850.099976,1925.300049,1925.300049,2998042
2022-01-27,1914.550049,1922.000000,1867.000000,1910.849976,1910.849976,2932713
2022-01-28,1916.099976,1948.000000,1891.300049,1897.550049,1897.550049,2233620
2022-01-31,1890.199951,1924.000000,1850.449951,1909.199951,1909.199951,3161064
