Date,Open,High,Low,Close,Adj Close,Volume
2021-08-25,282.799988,289.200012,282.450012,284.399994,284.399994,31538128
2021-08-26,284.850006,287.350006,281.649994,284.299988,284.299988,17864053
2021-08-27,282.899994,286.799988,281.700012,285.750000,285.750000,13477390
2021-08-30,290.100006,293.500000,289.899994,291.950012,291.950012,17217097
2021-08-31,291.750000,291.950012,286.100006,287.299988,287.299988,36951003
2021-09-01,289.000000,297.399994,287.299988,295.250000,295.250000,33103168
2021-09-02,295.250000,296.299988,291.700012,293.149994,293.149994,14907001
2021-09-03,292.500000,296.450012,292.000000,295.549988,295.549988,16594135
2021-09-06,297.500000,298.950012,296.000000,297.450012,297.450012,16622865
2021-09-07,297.350006,297.799988,290.899994,294.600006,294.600006,14325904
2021-09-08,293.500000,298.799988,291.600006,295.250000,295.250000,14920479
2021-09-09,294.000000,303.500000,293.549988,298.950012,298.950012,34020970
2021-09-13,299.000000,302.000000,295.500000,301.200012,301.200012,16339860
2021-09-14,302.250000,307.200012,302.200012,306.100006,306.100006,23234649
2021-09-15,306.100006,313.000000,306.100006,311.950012,311.950012,26808872
2021-09-16,313.399994,315.000000,307.649994,311.649994,311.649994,26249369
2021-09-17,312.000000,315.350006,306.000000,308.600006,308.600006,24972069
2021-09-20,304.899994,310.250000,297.299988,298.950012,298.950012,19632688
2021-09-21,298.600006,302.700012,293.100006,301.950012,301.950012,19439330
2021-09-22,303.149994,313.799988,303.000000,310.100006,310.100006,29545253
2021-09-23,313.200012,324.000000,313.200012,321.500000,321.500000,52701665
2021-09-24,325.100006,326.950012,316.049988,317.950012,317.950012,28901243
2021-09-27,323.149994,333.600006,323.149994,331.649994,331.649994,56305136
2021-09-28,334.000000,336.000000,324.500000,329.299988,329.299988,28497009
2021-09-29,325.000000,333.000000,324.000000,330.250000,330.250000,19740150
2021-09-30,331.250000,337.899994,329.100006,333.350006,333.350006,30268517
2021-10-01,332.649994,337.299988,325.700012,333.299988,333.299988,29877695
2021-10-04,336.799988,343.250000,335.149994,342.000000,342.000000,29553072
2021-10-05,340.450012,351.500000,338.850006,344.950012,344.950012,31861985
2021-10-06,347.000000,348.700012,335.000000,336.049988,336.049988,25272592
2021-10-07,341.100006,383.000000,339.250000,376.500000,376.500000,163238084
2021-10-08,385.899994,397.549988,380.000000,382.950012,382.950012,93728117
2021-10-11,390.149994,420.899994,388.000000,415.750000,415.750000,113404983
2021-10-12,423.000000,435.700012,413.600006,420.850006,420.850006,97349265
2021-10-13,462.899994,523.849976,462.899994,506.899994,506.899994,197949387
2021-10-14,530.000000,530.000000,492.000000,497.600006,497.600006,103630901
2021-10-18,507.000000,525.000000,503.600006,509.600006,509.600006,72322623
2021-10-19,512.450012,517.400024,476.049988,481.899994,481.899994,57428637
2021-10-20,481.799988,497.000000,471.250000,486.899994,486.899994,55444814
2021-10-21,491.750000,510.399994,485.750000,508.000000,508.000000,52608672
2021-10-22,509.899994,510.700012,487.399994,490.899994,490.899994,42742785
2021-10-25,493.899994,496.000000,473.250000,479.899994,479.899994,33107841
2021-10-26,483.500000,510.000000,483.250000,508.649994,508.649994,58027770
2021-10-27,505.750000,506.549988,496.000000,497.899994,497.899994,30361263
2021-10-28,493.899994,493.899994,478.549988,481.049988,481.049988,25182748
2021-10-29,482.000000,491.600006,467.700012,483.700012,483.700012,31054342
2021-11-01,486.450012,489.700012,469.799988,485.700012,485.700012,34315690
2021-11-02,506.500000,510.000000,486.500000,487.850006,487.850006,51580720
2021-11-03,483.799988,495.000000,481.600006,484.899994,484.899994,22950198
2021-11-04,489.799988,493.549988,488.000000,489.700012,489.700012,5531940
2021-11-08,493.899994,504.850006,490.250000,501.399994,501.399994,31736426
2021-11-09,505.000000,520.650024,503.500000,509.649994,509.649994,50458762
2021-11-10,506.250000,515.950012,500.200012,510.750000,510.750000,26615777
2021-11-11,510.000000,519.000000,501.000000,503.450012,503.450012,29256213
2021-11-12,506.950012,509.549988,497.350006,507.049988,507.049988,20731808
2021-11-15,506.250000,514.900024,504.500000,505.450012,505.450012,18014977
2021-11-16,506.899994,526.849976,506.200012,519.049988,519.049988,55897781
2021-11-17,520.250000,536.700012,520.250000,530.150024,530.150024,48463415
2021-11-18,531.450012,534.200012,501.299988,509.700012,509.700012,47197742
2021-11-22,512.250000,512.250000,478.399994,486.100006,486.100006,40044849
2021-11-23,484.399994,499.350006,477.000000,495.500000,495.500000,27553684
2021-11-24,499.000000,501.799988,485.299988,488.649994,488.649994,20915837
2021-11-25,490.799988,495.149994,486.500000,492.750000,492.750000,15336539
2021-11-26,486.000000,486.750000,458.000000,460.200012,460.200012,51787989
2021-11-29,457.000000,470.750000,443.100006,461.450012,461.450012,42819150
2021-11-30,466.549988,478.000000,455.649994,458.600006,458.600006,35471800
2021-12-01,467.850006,478.399994,463.549988,475.250000,475.250000,28256188
2021-12-02,479.399994,480.450012,471.700012,479.100006,479.100006,21012008
2021-12-03,480.000000,484.700012,477.299988,480.100006,480.100006,20948900
2021-12-06,480.100006,480.899994,466.000000,467.200012,467.200012,17473075
2021-12-07,476.850006,484.899994,471.000000,481.799988,481.799988,21280797
2021-12-08,484.500000,495.950012,483.500000,493.899994,493.899994,20581817
2021-12-09,498.000000,498.500000,489.549988,493.950012,493.950012,16951593
2021-12-10,487.750000,496.799988,486.549988,494.450012,494.450012,14567815
2021-12-13,499.450012,506.399994,494.200012,495.350006,495.350006,21921272
2021-12-14,491.950012,491.950012,483.299988,489.399994,489.399994,17722547
2021-12-15,487.799988,497.700012,487.250000,491.649994,491.649994,16263723
2021-12-16,495.000000,496.500000,487.399994,491.950012,491.950012,13581352
2021-12-17,488.000000,488.850006,468.200012,470.200012,470.200012,27341178
2021-12-20,459.899994,460.000000,440.000000,447.049988,447.049988,33007516
2021-12-21,452.100006,460.899994,449.850006,453.600006,453.600006,18838054
2021-12-22,458.149994,472.149994,458.149994,470.500000,470.500000,22730750
2021-12-23,476.000000,478.000000,470.950012,472.350006,472.350006,12116814
2021-12-24,474.899994,474.899994,460.000000,467.600006,467.600006,15487368
2021-12-27,465.700012,472.450012,460.100006,471.149994,471.149994,12557565
2021-12-28,475.200012,482.799988,472.649994,480.200012,480.200012,22860916
2021-12-29,478.750000,481.600006,474.250000,476.000000,476.000000,10263884
2021-12-30,472.549988,476.399994,468.600006,470.399994,470.399994,11923961
2021-12-31,472.700012,483.600006,471.850006,482.399994,482.399994,15541446
2022-01-03,493.500000,500.850006,492.000000,497.600006,497.600006,32748423
2022-01-04,496.799988,499.000000,484.049988,489.600006,489.600006,24100985
2022-01-05,486.950012,492.750000,483.549988,489.750000,489.750000,15420105
2022-01-06,481.500000,492.950012,477.100006,488.850006,488.850006,16563230
2022-01-07,490.049988,495.500000,483.750000,490.600006,490.600006,15532165
2022-01-10,493.100006,504.899994,491.299988,503.700012,503.700012,25193771
2022-01-11,503.000000,507.899994,498.149994,501.299988,501.299988,16269193
2022-01-12,505.850006,511.850006,503.500000,507.250000,507.250000,16255334
2022-01-13,504.000000,513.799988,494.799988,511.950012,511.950012,27572553
2022-01-14,509.000000,515.400024,505.649994,509.899994,509.899994,12655602
2022-01-17,514.799988,526.900024,512.000000,525.000000,525.000000,27942414
2022-01-18,527.900024,528.500000,507.149994,510.799988,510.799988,19353195
2022-01-19,510.000000,522.200012,504.799988,520.849976,520.849976,21799071
2022-01-20,519.950012,523.200012,512.000000,515.700012,515.700012,18364451
2022-01-21,510.399994,513.849976,494.250000,501.850006,501.850006,17946821
2022-01-24,499.700012,504.299988,473.350006,478.450012,478.450012,25228959
2022-01-25,473.799988,492.500000,467.649994,490.549988,490.549988,22565698
2022-01-27,480.750000,502.700012,476.600006,494.399994,494.399994,26676094
2022-01-28,500.500000,509.350006,495.299988,497.299988,497.299988,21784640
2022-01-31,505.000000,520.000000,498.200012,517.750000,517.750000,27306578
