Date,Open,High,Low,Close,Adj Close,Volume
2021-08-13,46.150002,46.400002,45.200001,45.500000,45.500000,24863835
2021-08-16,45.000000,45.700001,44.750000,44.849998,44.849998,16981980
2021-08-17,44.299999,45.099998,43.750000,44.150002,44.150002,23591111
2021-08-18,44.400002,45.099998,43.599998,44.650002,44.650002,33532201
2021-08-20,43.950001,44.150002,41.500000,41.799999,41.799999,48646738
2021-08-23,42.049999,42.599998,40.750000,40.950001,40.950001,42182140
2021-08-24,41.250000,43.099998,40.849998,42.900002,42.900002,38981298
2021-08-25,43.099998,43.450001,42.349998,42.549999,42.549999,30243270
2021-08-26,42.650002,42.900002,41.849998,42.200001,42.200001,22442384
2021-08-27,42.599998,42.950001,41.849998,42.500000,42.500000,25065857
2021-08-30,43.000000,43.950001,42.700001,43.450001,43.450001,24515423
2021-08-31,43.700001,43.700001,42.450001,42.950001,42.950001,41496912
2021-09-01,42.950001,44.599998,42.700001,44.450001,44.450001,31044253
2021-09-02,44.599998,45.049999,44.000000,44.900002,44.900002,20603198
2021-09-03,45.299999,46.349998,45.099998,45.650002,45.650002,32446332
2021-09-06,46.000000,46.000000,45.049999,45.150002,45.150002,12844249
2021-09-07,45.250000,46.650002,44.200001,46.400002,46.400002,36580052
2021-09-08,47.049999,47.650002,45.700001,46.150002,46.150002,48977773
2021-09-09,46.250000,47.000000,45.799999,46.900002,46.900002,18657990
2021-09-13,46.900002,47.500000,46.200001,46.849998,46.849998,19601326
2021-09-14,47.000000,48.500000,46.900002,47.950001,47.950001,23597971
2021-09-15,48.000000,49.349998,47.549999,48.650002,48.650002,39497470
2021-09-16,49.900002,51.599998,48.799999,50.950001,50.950001,86642328
2021-09-17,51.349998,51.349998,48.150002,49.150002,49.150002,54635302
2021-09-20,48.700001,49.950001,47.599998,47.849998,47.849998,26594830
2021-09-21,48.000000,48.750000,47.000000,48.500000,48.500000,28439822
2021-09-22,48.599998,48.900002,48.150002,48.500000,48.500000,16221167
2021-09-23,49.000000,49.650002,48.349998,48.500000,48.500000,22327222
2021-09-24,48.700001,49.099998,46.549999,47.099998,47.099998,32377216
2021-09-27,47.200001,47.849998,46.700001,46.849998,46.849998,19134961
2021-09-28,47.000000,47.299999,45.349998,46.250000,46.250000,35617298
2021-09-29,46.250000,48.650002,45.750000,48.299999,48.299999,35169381
2021-09-30,48.349998,49.200001,47.299999,47.650002,47.650002,31089569
2021-10-01,47.200001,47.650002,46.549999,47.349998,47.349998,22538570
2021-10-04,47.799999,48.099998,47.349998,47.650002,47.650002,18145338
2021-10-05,47.650002,48.549999,47.200001,47.950001,47.950001,27725232
2021-10-06,48.200001,48.650002,46.700001,47.000000,47.000000,33384578
2021-10-07,47.500000,48.400002,47.299999,47.799999,47.799999,22843316
2021-10-08,48.000000,48.250000,47.500000,48.000000,48.000000,17902092
2021-10-11,48.250000,48.349998,47.700001,47.799999,47.799999,15812924
2021-10-12,47.750000,49.799999,47.150002,49.099998,49.099998,42144888
2021-10-13,49.500000,49.750000,48.700001,48.900002,48.900002,25541340
2021-10-14,48.900002,49.799999,48.750000,49.400002,49.400002,28300125
2021-10-18,49.799999,51.950001,49.549999,50.950001,50.950001,57006355
2021-10-19,51.549999,51.599998,48.349998,48.599998,48.599998,38440401
2021-10-20,48.599998,49.400002,47.700001,48.650002,48.650002,24487806
2021-10-21,48.900002,49.950001,48.450001,49.700001,49.700001,28207463
2021-10-22,50.099998,51.500000,49.500000,50.000000,50.000000,51806072
2021-10-25,50.500000,50.650002,48.150002,49.349998,49.349998,35793918
2021-10-26,49.750000,53.000000,49.549999,52.849998,52.849998,93312958
2021-10-27,53.500000,53.500000,51.849998,52.349998,52.349998,54458200
2021-10-28,52.349998,52.599998,49.200001,49.549999,49.549999,45736440
2021-10-29,49.950001,50.549999,47.900002,49.500000,49.500000,34084382
2021-11-01,50.400002,50.900002,49.049999,50.549999,50.549999,38273556
2021-11-02,50.650002,52.650002,50.549999,52.200001,52.200001,46448494
2021-11-03,52.450001,52.599998,50.250000,50.549999,50.549999,32618616
2021-11-04,51.200001,51.500000,51.000000,51.099998,51.099998,5553485
2021-11-08,51.349998,51.650002,50.500000,51.349998,51.349998,22060504
2021-11-09,51.500000,52.549999,51.349998,52.250000,52.250000,25791926
2021-11-10,52.099998,52.950001,51.650002,51.900002,51.900002,28829408
2021-11-11,52.150002,52.150002,50.450001,50.900002,50.900002,29709250
2021-11-12,51.349998,52.099998,50.400002,51.650002,51.650002,25653038
2021-11-15,52.000000,52.200001,51.000000,51.200001,51.200001,15609863
2021-11-16,51.250000,51.349998,50.099998,50.250000,50.250000,18590175
2021-11-17,50.250000,50.500000,49.299999,49.500000,49.500000,19215873
2021-11-18,49.500000,49.950001,48.450001,48.599998,48.599998,20806010
2021-11-22,49.000000,49.900002,46.599998,47.200001,47.200001,27256824
2021-11-23,47.500000,49.049999,46.599998,48.750000,48.750000,25946290
2021-11-24,49.000000,49.750000,48.599998,48.750000,48.750000,20007706
2021-11-25,48.750000,48.900002,48.049999,48.549999,48.549999,18019952
2021-11-26,48.000000,48.200001,46.099998,46.349998,46.349998,33477019
2021-11-29,46.400002,46.799999,44.299999,45.150002,45.150002,30245454
2021-11-30,45.400002,46.299999,44.450001,44.599998,44.599998,28492638
2021-12-01,45.000000,46.500000,44.349998,46.299999,46.299999,26725826
2021-12-02,46.299999,47.150002,45.750000,46.950001,46.950001,18082012
2021-12-03,47.150002,47.950001,46.599998,47.250000,47.250000,25835346
2021-12-06,47.299999,47.849998,46.450001,46.599998,46.599998,20249903
2021-12-07,46.950001,48.049999,46.900002,47.799999,47.799999,18513544
2021-12-08,48.299999,48.700001,48.000000,48.599998,48.599998,17200743
2021-12-09,48.700001,49.650002,48.299999,49.500000,49.500000,21345219
2021-12-10,49.450001,52.500000,49.000000,52.099998,52.099998,59234374
2021-12-13,52.700001,52.700001,50.950001,51.099998,51.099998,26730470
2021-12-14,50.799999,51.250000,50.000000,50.799999,50.799999,17818067
2021-12-15,51.200001,51.750000,50.049999,50.200001,50.200001,20110257
2021-12-16,50.450001,50.849998,49.349998,49.700001,49.700001,13682975
2021-12-17,49.500000,49.900002,47.900002,48.049999,48.049999,23325459
2021-12-20,47.700001,47.700001,44.900002,45.599998,45.599998,28563917
2021-12-21,45.900002,46.500000,45.150002,45.750000,45.750000,19564228
2021-12-22,45.750000,48.450001,45.750000,48.049999,48.049999,24558054
2021-12-23,48.250000,48.400002,47.500000,47.700001,47.700001,14539248
2021-12-24,47.900002,47.950001,46.700001,46.900002,46.900002,17261052
2021-12-27,45.799999,47.400002,43.549999,46.400002,46.400002,32401196
2021-12-28,46.799999,47.900002,46.599998,47.400002,47.400002,31274391
2021-12-29,47.200001,48.150002,47.150002,47.400002,47.400002,22842564
2021-12-30,47.200001,47.950001,46.099998,47.500000,47.500000,51556636
2021-12-31,47.650002,49.349998,47.250000,48.349998,48.349998,48768010
2022-01-03,48.799999,50.000000,48.250000,49.650002,49.650002,33785136
2022-01-04,49.650002,50.099998,48.599998,49.299999,49.299999,30079665
2022-01-05,49.200001,50.349998,48.849998,49.799999,49.799999,29817214
2022-01-06,49.500000,50.250000,48.700001,49.799999,49.799999,21692204
2022-01-07,50.000000,50.250000,49.000000,49.200001,49.200001,22329620
2022-01-10,49.400002,50.250000,49.200001,49.799999,49.799999,22812760
2022-01-11,50.000000,50.599998,49.099998,49.299999,49.299999,24714529
2022-01-12,49.650002,49.849998,49.150002,49.500000,49.500000,21733382
2022-01-13,49.500000,49.950001,48.900002,49.799999,49.799999,19992641
2022-01-14,49.299999,50.150002,49.049999,49.200001,49.200001,15892843
2022-01-17,49.200001,49.750000,48.900002,49.000000,49.000000,19823854
2022-01-18,49.400002,49.599998,47.599998,47.750000,47.750000,22624694
2022-01-19,47.750000,49.150002,47.099998,48.950001,48.950001,23614427
2022-01-20,48.799999,48.900002,47.450001,47.750000,47.750000,23702927
2022-01-21,47.650002,47.799999,46.200001,46.700001,46.700001,23898789
